id;user_email;user_pass;user_nicename;profile_slug;profile_slug_updated_at;status;user_description;participate_points;user_url;user_registered;user_activation_key;sei;mei;kana_sei;kana_mei;birth_year;sex;marriage;child_count;job;prefecture;sns_x;worker_img_id;worker_img_url;profile_registered;first_survey;first_vote;first_comment;email_subscription;interest_categories;warning_flag;consecutive_limit;show_unvoted_surveys;last_access_date;created_at;updated_at;x_user_id;x_screen_name;x_profile_image;x_access_token;x_refresh_token;x_token_expires;reset_token;reset_token_expires;line_id;line_access_token;line_refresh_token;line_token_expires_at;line_token_updated_at
1;yoshizaki@sucmedia.co.jp;$2y$10$HE5TeL6N0eVZuxTx2tKB8OpjnG0irY.OIaEwBRfF.cfCQjBfWHGgq;開発チーム;;;3;"";1;"";2025-11-07 18:04:34;"";テスト;太郎;ｓｓｓ;ｓｓｓｓ;2023;female;single;"0";"";東京都;https://anke.jp/member_login/;558949;https://anke.jp/wp-content/uploads/anke-11-06-07-1764594858-1765265511.jpg;1;1;1;1;1;"0";1;"0";1;2025-12-09;2025-11-07 18:04:34;2025-12-09 16:31:51;;;;;;;;;;;;;
5;yhayashi+02@sucmedia.co.jp;$P$BK0VapzwxMgQfP1uFG2LhEl/o4F9Om0;こっちゃん;"";2025-11-18 09:40:21;2;東京都在住の40歳、会社員です。妻と小学生の子供2人と暮らしています。週末は家族でキャンプに行ったり、子供とサッカーをするのが楽しみです。仕事では営業職として日々奮闘中。家計管理や子育て、趣味のアウトドアについて情報交換できればと思っています。最近は資産運用にも興味があり、NISAやiDeCoについて勉強中です。;1;"";2020-06-12 03:13:14;"";山田;太郎;ヤマダ;タロウ;1985;male;married;2;"";東京都;"";;"";1;"0";"0";"0";1;"[""生活"", ""経済"", ""子育て"", ""アウトドア"", ""スポーツ"", ""資産運用""]";"0";"0";1;2025-11-18;2020-06-12 03:13:14;2025-11-25 19:30:17;;;;;;;;;;;;;
14;komerice.000@gmail.com;$P$BoAZBPNZHqPajB8VBsKdTr7tqyVODX.;黒麦。;;;1;;1;"";2021-12-23 08:29:39;"";;;;;;not_specified;not_specified;"0";;;;;"";1;"0";"0";"0";1;;"0";"0";1;;2021-12-23 08:29:39;2025-12-15 21:25:22;;;;;;;;;;;;;
15;mgeen@mail.goo.ne.jp;$P$BIq5.Pu2qrd2N0FWym8ltkQIlWXJt//;匿名44efc1;;;1;;1;"";2022-02-22 07:44:42;"";;;;;;not_specified;not_specified;"0";;;;;"";1;"0";"0";"0";1;;"0";"0";1;;2022-02-22 07:44:42;2025-12-22 13:20:36;;;;;;;;;;;;;
19;ohimachi@gmail.com;$P$BxqSWdQvPM4xS6PChBwI0fBD8K7rqr.;難波ママ;;;1;大阪在住の二児のママ。結婚して、東京から関西に引っ越し。ポイ活好き。よろしくお願いいたします。;1;"";2022-06-21 09:06:35;"";"";"";"";"";2023;female;married;"0";主婦;宮城県;"";530924;https://anke.jp/wp-content/uploads/222.jpg;1;"0";"0";"0";1;;"0";"0";1;2026-01-08;2022-06-21 09:06:35;2026-01-08 11:01:04;;;;;;;;;;;;;
22;info@sucmedia.co.jp;$P$BAenQ617zIzDfsE4PvlhNpi.30XUJa.;匿名ed9bcf;;;2;;1;"";2022-07-05 05:01:09;"";;;;;;not_specified;not_specified;"0";;;;;"";1;"0";"0";"0";1;;"0";"0";1;;2022-07-05 05:01:09;2025-12-22 13:19:59;;;;;;;;;;;;;
23;tskshimada1@gmail.com;$P$BrUW4gyfmOVUtWsB5LkNCqDw9X1bJ0.;道産子コーギー;dosanko;2025-11-26 12:16:47;2;北海道生まれ温室育ち。寒いのも暑いのも苦手。暖房付けてアイスを食べるのが好き。;"0";"";2022-07-07 09:15:21;"";"";"";"";"";"";male;single;"0";会社員;"";"";534123;https://anke.jp/wp-content/uploads/0d2fdd42fb8d47e536646bdd367e8740_t-1.jpg;1;"0";"0";"0";1;;"0";"0";1;2025-12-17;2022-07-07 09:15:21;2025-12-17 10:53:59;;;;;;;;;;;;;
24;kihara0114@iCloud.com;$P$BFEVzCyhJKsismc7tXxfrq6knigkAU/;隼@アンチカルト;;;1;;1;"";2022-07-07 16:40:11;"";;;;;;not_specified;not_specified;"0";;;;;"";1;"0";"0";"0";1;;"0";"0";1;;2022-07-07 16:40:11;2025-12-15 21:25:22;;;;;;;;;;;;;
27;yhayashi+01@sucmedia.co.jp;$P$BBzcSiAmvdPoR/18SorYJoKHopMJe91;天童さくら;;;2;たまにポイ活やって、アマギフを貯めています。アンケで10000円以上貯めることができました。;1;"";2022-08-25 08:00:17;"";"";"";"";"";2022;female;married;"0";自営業;"";"";534114;https://anke.jp/wp-content/uploads/111-2.png;1;"0";"0";"0";1;;"0";"0";1;2025-11-14;2022-08-25 08:00:17;2025-11-25 19:30:17;;;;;;;;;;;;;
29;r.tamashima.0926@gmail.com;$P$BHYPtglz6qtwp.iaDsNa9/XpDcP0sd1;玉嶋亮;;;1;;1;"";2022-09-14 22:47:59;"";;;;;;not_specified;not_specified;"0";;;;;"";1;"0";"0";"0";1;;"0";"0";1;;2022-09-14 22:47:59;2025-12-15 21:25:22;;;;;;;;;;;;;
