id,name,email,email_verified,status,is_banned,user_pass,image,worker_img_url,profile_slug,user_description,prefecture,birth_year,sex,participate_points,child_count,marriage,job,sei,mei,kana_sei,kana_mei,email_subscription,interest_categories,profile_registered,sns_x,profile_slug_updated_at,reset_token,reset_token_expiry,created_at,updated_at,avatar_style,avatar_seed,use_custom_image
2004,ひなたん,yhayashi+16@sucmedia.co.jp,,1,f,$2y$10$HE5TeL6N0eVZuxTx2tKB8OpjnG0irY.OIaEwBRfF.cfCQjBfWHGgq,,,kei_experience,福岡在住の32歳です。20代は恋愛で失敗も成功も経験しました。片思い、遠距離、職場恋愛など、様々な恋愛の悩みに答えます。,福岡県,1992,male,1,0,single,会社員,,,,,1,"[""romance"",""dating"",""communication""]",1,,,,,2022-09-15 11:45:00+00,2026-02-16 07:15:00+00,fun-emoji,user-2004,f
067aa3ac-754f-427d-8002-99cf319b85e5,yhayashi,line_067aa3ac-754f-427d-8002-99cf319b85e5@anke.jp,,1,f,,,,,,,,,0,0,,,,,,,0,,0,,,,,2026-02-18 05:46:47.933+00,2026-02-18 05:46:47.976866+00,big-smile,,f
1005,あやか,yhayashi+6@sucmedia.co.jp,,1,f,$2y$10$HE5TeL6N0eVZuxTx2tKB8OpjnG0irY.OIaEwBRfF.cfCQjBfWHGgq,,,ayaka_worklife,千葉在住の27歳です。仕事と恋愛の両立で悩んでいます。仕事が忙しくて彼氏との時間が取れず、最近ギクシャクしています。,千葉県,1997,female,0,0,single,会社員,,,,,1,"[""romance"",""work""]",1,,,,,2023-11-12 11:30:00+00,2026-02-16 06:20:00+00,fun-emoji,user-1005,f
1002,ゆい,yhayashi+3@sucmedia.co.jp,,1,f,$2y$10$HE5TeL6N0eVZuxTx2tKB8OpjnG0irY.OIaEwBRfF.cfCQjBfWHGgq,,,yui_career,神奈川在住の28歳です。転職を考えていますが、今の職場の人間関係で悩んでいます。同じ経験をされた方のアドバイスが聞きたいです。,神奈川県,1996,female,0,0,single,会社員,,,,,1,"[""work"",""career""]",1,,,,,2023-08-20 14:20:00+00,2026-02-16 06:05:00+00,fun-emoji,user-1002,f
1009,なな,yhayashi+10@sucmedia.co.jp,,1,f,$2y$10$HE5TeL6N0eVZuxTx2tKB8OpjnG0irY.OIaEwBRfF.cfCQjBfWHGgq,,,nana_marriage,京都在住の33歳です。彼氏と結婚の話が出ていますが、結婚に踏み切る勇気が出ません。結婚のタイミングで悩んでいます。,京都府,1991,female,0,0,single,会社員,,,,,1,"[""romance"",""marriage""]",1,,,,,2023-07-14 12:40:00+00,2026-02-16 06:40:00+00,fun-emoji,user-1009,f
1008,まどか,yhayashi+9@sucmedia.co.jp,,1,f,$2y$10$HE5TeL6N0eVZuxTx2tKB8OpjnG0irY.OIaEwBRfF.cfCQjBfWHGgq,,,madoka_distance,北海道在住の31歳です。遠距離恋愛中ですが、会えない時間が長くて不安です。遠距離を乗り越えた方の体験談を聞きたいです。,北海道,1993,female,0,0,single,会社員,,,,,1,"[""romance"",""longdistance""]",1,,,,,2024-02-08 10:10:00+00,2026-02-16 06:35:00+00,fun-emoji,user-1008,f
2001,ゆめみん,yhayashi+13@sucmedia.co.jp,,1,f,$2y$10$HE5TeL6N0eVZuxTx2tKB8OpjnG0irY.OIaEwBRfF.cfCQjBfWHGgq,,,mai_advisor,東京在住の35歳です。結婚10年目で、これまで多くの恋愛を経験してきました。職場恋愛から遠距離恋愛まで、様々な恋愛の悩みに寄り添います。,東京都,1989,female,1,2,married,フリーランス,,,,,1,"[""romance"",""marriage"",""work""]",1,,,,,2022-03-10 08:00:00+00,2026-02-16 07:00:00+00,fun-emoji,user-2001,f
2005,成瀬,yhayashi+17@sucmedia.co.jp,,1,f,$2y$10$HE5TeL6N0eVZuxTx2tKB8OpjnG0irY.OIaEwBRfF.cfCQjBfWHGgq,,,satomi_counselor,愛知在住の42歳です。心理カウンセラーの資格を持ち、恋愛や人間関係の悩みに心理学的な視点からアドバイスします。,愛知県,1982,female,1,2,married,フリーランス,,,,,1,"[""romance"",""mental"",""communication""]",1,,,,,2021-08-12 13:20:00+00,2026-02-16 07:20:00+00,fun-emoji,user-2005,f
2002,そらっち,yhayashi+14@sucmedia.co.jp,,1,f,$2y$10$HE5TeL6N0eVZuxTx2tKB8OpjnG0irY.OIaEwBRfF.cfCQjBfWHGgq,,,hiroshi_consultant,大阪在住の40歳です。企業で人事を15年経験し、職場の人間関係やコミュニケーションの悩みに答えます。転職経験も3回あります。,大阪府,1984,male,1,1,married,会社員,,,,,1,"[""work"",""career"",""communication""]",1,,,,,2021-11-05 09:30:00+00,2026-02-16 07:05:00+00,fun-emoji,user-2002,f
1006,かな,yhayashi+7@sucmedia.co.jp,,1,f,$2y$10$HE5TeL6N0eVZuxTx2tKB8OpjnG0irY.OIaEwBRfF.cfCQjBfWHGgq,,,kana_shy,愛知在住の24歳です。人見知りで恋愛経験がほとんどありません。好きな人ができましたが、どう話しかけていいか分かりません。,愛知県,2000,female,0,0,single,会社員,,,,,1,"[""romance"",""communication""]",1,,,,,2024-06-18 13:50:00+00,2026-02-16 06:25:00+00,fun-emoji,user-1006,f
